"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"52","107",52,"107.1",cg.B,1,200,sem,31.80
"53","115",53,"115.1",ft.B,24,200,sem,8.37
"54","82",54,"82.1",ft.B,16,100,sem,7.70
"55","76",55,"76.1",ft.B,1,100,sem,7.72
"56","1",56,"1.1",ft.B,1,50,com,8.45
"57","17",57,"17.1",cg.B,1,100,com,27.77
"58","66",58,"66.1",lu.B,8,50,sem,34.68
"59","79",59,"79.1",ft.B,8,100,sem,7.74
"60","94",60,"94.1",ft.B,8,150,sem,7.87
"61","24",61,"24.1",lu.B,16,100,com,40.20
"62","9",62,"9.1",lu.B,16,50,com,32.17
"63","52",63,"52.1",ft.B,16,200,com,7.73
"64","97",64,"97.1",ft.B,16,150,sem,8.17
